Date,Open,High,Low,Close,Volume,Market Cap,Cryptocurrency
"Dec 31, 2024",$20.58,$21.07,$19.86,$20.00,"$597,468,330","$12,762,742,365",LINK
"Dec 30, 2024",$20.94,$21.73,$20.10,$20.58,"$728,410,628","$13,134,076,836",LINK
"Dec 29, 2024",$21.97,$21.97,$20.78,$20.94,"$456,858,346","$13,360,856,981",LINK
"Dec 28, 2024",$21.53,$22.28,$21.06,$21.97,"$729,747,342","$14,016,559,103",LINK
"Dec 27, 2024",$22.65,$23.62,$21.40,$21.53,"$829,602,107","$13,737,660,784",LINK
"Dec 26, 2024",$24.43,$24.64,$22.46,$22.65,"$756,276,597","$14,454,364,589",LINK
"Dec 25, 2024",$25.44,$25.53,$24.21,$24.43,"$815,332,957","$15,589,284,907",LINK
"Dec 24, 2024",$24.48,$25.93,$23.59,$25.44,"$1,325,641,262","$16,232,938,653",LINK
"Dec 23, 2024",$22.05,$24.89,$21.55,$24.48,"$1,418,414,647","$15,620,090,064",LINK
"Dec 22, 2024",$22.13,$22.69,$21.38,$22.05,"$760,283,071","$14,068,673,488",LINK
"Dec 21, 2024",$23.36,$24.89,$21.85,$22.13,"$1,290,476,904","$14,118,707,590",LINK
"Dec 20, 2024",$22.89,$23.64,$20.06,$23.36,"$2,000,689,009","$14,908,937,395",LINK
"Dec 19, 2024",$24.89,$25.55,$21.84,$22.89,"$2,183,321,673","$14,349,952,737",LINK
"Dec 18, 2024",$27.82,$28.28,$24.80,$24.89,"$1,830,073,362","$15,603,105,912",LINK
"Dec 17, 2024",$28.74,$28.98,$27.46,$27.82,"$1,448,603,677","$17,442,000,575",LINK
"Dec 16, 2024",$29.22,$30.72,$28.45,$28.74,"$2,177,945,359","$18,018,290,043",LINK
"Dec 15, 2024",$29.11,$29.74,$28.06,$29.22,"$1,417,091,998","$18,319,380,398",LINK
"Dec 14, 2024",$29.02,$30.69,$28.80,$29.11,"$2,225,370,019","$18,248,930,215",LINK
"Dec 13, 2024",$29.28,$30.81,$27.63,$29.02,"$2,694,601,058","$18,193,781,626",LINK
"Dec 12, 2024",$24.09,$29.37,$23.96,$29.29,"$3,621,233,210","$18,357,268,796",LINK
"Dec 11, 2024",$22.22,$24.30,$21.22,$24.09,"$1,251,318,584","$15,102,744,595",LINK
"Dec 10, 2024",$22.35,$23.73,$20.38,$22.22,"$2,284,650,070","$13,926,382,783",LINK
"Dec 09, 2024",$26.14,$27.26,$20.42,$22.35,"$3,032,910,891","$14,007,732,141",LINK
"Dec 08, 2024",$24.99,$27.37,$24.73,$26.14,"$1,667,077,604","$16,388,643,020",LINK
"Dec 07, 2024",$25.81,$26.77,$24.50,$24.80,"$1,206,894,646","$15,546,171,826",LINK
"Dec 06, 2024",$23.17,$25.92,$22.89,$25.81,"$1,464,133,424","$16,179,656,164",LINK
"Dec 05, 2024",$24.11,$24.73,$23.05,$23.40,"$1,655,548,492","$14,671,022,703",LINK
"Dec 04, 2024",$24.22,$26.32,$23.69,$24.11,"$2,233,316,427","$15,110,436,334",LINK
"Dec 03, 2024",$25.09,$26.11,$22.99,$24.22,"$3,344,542,573","$15,181,254,326",LINK
"Dec 02, 2024",$18.89,$26.50,$18.66,$25.09,"$8,935,516,000","$15,728,692,079",LINK
"Dec 01, 2024",$19.02,$19.08,$18.48,$18.89,"$638,179,234","$11,840,965,290",LINK
"Nov 30, 2024",$18.29,$19.40,$17.98,$19.02,"$726,534,738","$11,924,219,857",LINK
"Nov 29, 2024",$17.96,$18.38,$17.56,$18.29,"$522,913,952","$11,464,961,306",LINK
"Nov 28, 2024",$18.70,$18.70,$17.53,$17.96,"$627,681,116","$11,258,820,965",LINK
"Nov 27, 2024",$17.34,$18.97,$17.02,$18.70,"$946,737,979","$11,720,031,731",LINK
"Nov 26, 2024",$17.39,$17.80,$16.26,$17.34,"$879,962,495","$10,868,856,228",LINK
"Nov 25, 2024",$17.94,$19.00,$17.19,$17.39,"$1,289,484,781","$10,898,947,805",LINK
"Nov 24, 2024",$17.39,$18.29,$16.25,$17.94,"$1,141,728,333","$11,249,848,155",LINK
"Nov 23, 2024",$16.53,$18.25,$16.35,$17.39,"$1,521,291,265","$10,898,043,103",LINK
"Nov 22, 2024",$14.91,$16.55,$14.76,$16.53,"$1,153,932,720","$10,362,977,819",LINK
"Nov 21, 2024",$14.25,$15.36,$13.88,$14.91,"$781,024,436","$9,345,270,867",LINK
"Nov 20, 2024",$14.65,$15.29,$14.07,$14.25,"$719,119,033","$8,930,796,594",LINK
"Nov 19, 2024",$15.22,$15.40,$14.48,$14.65,"$618,752,857","$9,181,029,374",LINK
"Nov 18, 2024",$13.78,$15.96,$13.78,$15.22,"$1,002,271,157","$9,541,134,585",LINK
"Nov 17, 2024",$14.53,$14.86,$13.60,$13.78,"$641,164,136","$8,636,970,885",LINK
"Nov 16, 2024",$13.82,$14.77,$13.76,$14.53,"$756,646,648","$9,105,751,715",LINK
"Nov 15, 2024",$12.97,$13.88,$12.75,$13.85,"$645,867,168","$8,681,865,498",LINK
"Nov 14, 2024",$13.48,$13.81,$12.86,$12.97,"$689,991,231","$8,130,872,645",LINK
"Nov 13, 2024",$14.00,$14.37,$13.10,$13.48,"$910,258,164","$8,447,278,976",LINK
"Nov 12, 2024",$14.90,$15.32,$13.72,$14.00,"$1,120,172,988","$8,778,499,990",LINK
"Nov 11, 2024",$14.29,$14.90,$13.67,$14.90,"$920,385,060","$9,337,428,087",LINK
"Nov 10, 2024",$13.76,$14.84,$13.71,$14.29,"$883,029,552","$8,957,354,014",LINK
"Nov 09, 2024",$13.72,$13.80,$13.31,$13.76,"$399,927,256","$8,627,325,762",LINK
"Nov 08, 2024",$12.61,$13.74,$12.55,$13.72,"$593,832,536","$8,599,529,655",LINK
"Nov 07, 2024",$12.17,$12.68,$12.09,$12.61,"$418,031,721","$7,902,508,689",LINK
